MovieId,Movie Name,WikiUrl,actors,Keywords,TwitterHandles,BuffUrl,ImdbUrl,ReviewsUrl,TimesUrl,QuotesUrl,LyricsUrl,BoxOffice
12,Bewakoofiyaan,https://en.wikipedia.org/wiki/Bewakoofiyaan,Ayushmann Khurrana;Sonam Kapoor;Rishi Kapoor,Bewakoofiyaan,Bewakoofiyaan,http://www.moviebuff.com/bewakoofiyaan,http://www.imdb.com/title/tt3483646/,http://reviewschview.com/bewakoofiyaan/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Bewakoofiyaan/movie-review/32016840.cms,http://www.filmyquotes.com/movies/826,http://www.lyricsmint.com/2014/02/bewakoofiyaan.html,http://www.boxofficeindia.com/Movies/movie_detail/bewakoofiyaan
13,AnkhonDekhi,https://en.wikipedia.org/wiki/Ankhon_Dekhi,Sanjay Mishra;Seema Pahwa;Rajat Kapoor,AnkhonDekhi; Ankhon Dekhi,AnkhonDekhi,http://www.moviebuff.com/ankhon-dekhi,http://www.imdb.com/title/tt3614516/,http://reviewschview.com/ankhon-dekhi/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Ankhon-Dekhi/movie-review/32370038.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/ankhon_dekhi
14,GangofGhosts,https://en.wikipedia.org/wiki/Gang_of_Ghosts,Sharman Joshi;Parambrata Chatterjee;Mahi Gill;Anupam Kher;Meera Chopra;Rajesh Khattar;Saurabh Shukla;Rajpal Yadav;Yashpal Sharma;Chunky Pandey;Jackie Shroff,Gangofghosts; Gang of ghosts,Gangofghosts,http://www.moviebuff.com/gang-of-ghosts,http://www.imdb.com/title/tt3531604/,http://reviewschview.com/gang-ghosts/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Gang-of-Ghosts/movie-review/32419652.cms,http://www.filmyquotes.com/movies/586,None,http://boxofficeindia.com/Movies/movie_detail/gang_of_ghosts
15,RaginiMMS2,https://en.wikipedia.org/wiki/Ragini_MMS_2,Sunny Leone;Parvin Dabas;Sandhya Mridul;Anita Hassanandani,RaginiMMS2; Ragini MMS,None,http://www.moviebuff.com/ragini-mms-2,http://www.imdb.com/title/tt2609218/,http://reviewschview.com/ragini-mms-2/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Ragini-MMS-2/movie-review/32423360.cms,http://www.filmyquotes.com/movies/615,http://www.lyricsmint.com/2014/02/ragini-mms-2.html,http://boxofficeindia.com/Movies/movie_detail/ragini_mms_2
16,Dishkiyaoon,https://en.wikipedia.org/wiki/Dishkiyaoon,Harman Baweja;Sunny Deol;Ayesha Khanna;Aditya Pancholi;Prashant Narayanan,Dishkiyaoon,DishkiyaoonFilm,http://www.moviebuff.com/dishkiyaoon,http://www.imdb.com/title/tt3539966/,http://reviewschview.com/dishkiyaoon/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Dishkiyaoon/movie-review/32857750.cms,http://www.filmyquotes.com/movies/582,http://www.lyricsmint.com/2014/03/dishkiyaoon.html,http://www.boxofficeindia.com/Movies/movie_detail/dishkiyaoon
17,Youngistaan,https://en.wikipedia.org/wiki/Youngistaan,Jackky Bhagnani;Neha Sharma;Farooq Sheikh;Kayoze Irani,Youngistaan,YoYoungistaan,http://www.moviebuff.com/youngistaan,http://www.imdb.com/title/tt3514330/,http://reviewschview.com/youngistaan/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Youngistaan/movie-review/32788525.cms,http://www.filmyquotes.com/movies/689,None,http://www.boxofficeindia.com/Movies/movie_detail/youngistaan
18,MainTeraHero,https://en.wikipedia.org/wiki/Main_Tera_Hero,Varun Dhawan;Ileana D'Cruz;Nargis Fakhri,MainTeraHero; Main Tera Hero,MainTera_Hero,http://www.moviebuff.com/main-tera-hero,http://www.imdb.com/title/tt2762334/,http://reviewschview.com/main-tera-hero/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Main-Tera-Hero/movie-review/33185414.cms,http://www.filmyquotes.com/movies/585,http://www.lyricsmint.com/2014/03/main-tera-hero.html,http://boxofficeindia.com/Movies/movie_detail/main_tera_hero
19,BhoothnathReturns,https://en.wikipedia.org/wiki/Bhoothnath_Returns,Amitabh Bachchan;Boman Irani;Parth Bhalerao;Usha Jadhav;Sanjay Mishra;Brijendra Kala;Usha Nadkarni,BhoothnathReturns; Bhoothnath,BigBBhoothGang,http://www.moviebuff.com/bhoothnath-returns,http://www.imdb.com/title/tt3531852/,http://reviewschview.com/bhoothnath-returns/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Bhoothnath-Returns/movie-review/33614526.cms,http://www.filmyquotes.com/movies/598,http://www.lyricsmint.com/2014/03/bhoothnath-returns.html,http://boxofficeindia.com/Movies/movie_detail/bhoothnath_returns#.Vj3QuHW1Gko
20,TwoStates,https://en.wikipedia.org/wiki/2_States_(film),Arjun Kapoor;Alia Bhatt;Ronit Roy;Amrita Singh;Revathi;Shiv Kumar Subramaniam,2 States movie,2StatesMovie,http://www.moviebuff.com/2-states,http://www.imdb.com/title/tt2372678/,http://reviewschview.com/2-states/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/2-States/movie-review/33856750.cms,http://www.filmyquotes.com/movies/651,http://www.lyricsmint.com/2014/03/2-states.html,http://boxofficeindia.com/Movies/movie_detail/2_states#.Vj3QyHW1Gko
21,DekhTamashaDekh,https://en.wikipedia.org/wiki/Dekh_Tamasha_Dekh,Satish Kaushik;Tanvi Azmi;Vinay Jain,DekhTamashaDekh; Dekh Tamasha Dekh,dtdmovie,http://www.moviebuff.com/dekh-tamasha-dekh,http://www.imdb.com/title/tt3672618/,http://reviewschview.com/dekh-tamasha-dekh/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Dekh-Tamasha-Dekh/movie-review/33861205.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/dekh_tamasha_dekh
22,KyaDilliKyaLahore,https://en.wikipedia.org/wiki/Kya_Dilli_Kya_Lahore,Vijay Raaz;Manu Rishi;Raj Zutshi,KDKLTheMovie; KDKL The Movie,KDKLTheMovie,http://www.moviebuff.com/kya-dilli-kya-lahore,http://www.imdb.com/title/tt2063745/,http://reviewschview.com/kya-dilli-kya-lahore/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Kya-Dilli-Kya-Lahore/movie-review/34466490.cms,http://www.filmyquotes.com/movies/1055,None,http://www.boxofficeindia.com/Movies/movie_detail/kya_dilli_kya_lahore
23,KahinHaiMeraPyar,https://en.wikipedia.org/wiki/Kahin_Hai_Mera_Pyar,Jackie Shroff;Sanjay Kapoor,KahinHaiMeraPyar; Kahin Hai Mera Pyar,KHMPOfficial,http://www.moviebuff.com/kahin-hai-mera-pyar,http://www.imdb.com/title/tt3585758/,http://reviewschview.com/kahin-hai-mera-pyar/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Kahin-Hai-Mera-Pyaar/movie-review/34475777.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/kahin_hai_mera_pyar
24,Koyelaanchal,https://en.wikipedia.org/wiki/Koyelaanchal,Vinod Khanna;Sunil Shetty,Koyelaanchal review,Koyelaanchal,http://www.moviebuff.com/koyelaanchal,http://www.imdb.com/title/tt3640942/,http://reviewschview.com/koyelaanchal/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Koyelaanchal/movie-review/34891051.cms,http://www.filmyquotes.com/movies/631,None,http://www.boxofficeindia.com/Movies/movie_detail/koyelaanchal
25,Mastram,https://en.wikipedia.org/wiki/Mastram,Tara Alisha; Kapil Dubey; Rahul Bagga; Vinod Nahardih; Istiyak Khan; Akash Dhaiya,Mastram review,aslimastram,http://www.moviebuff.com/mastram,http://www.imdb.com/title/tt3431714/,http://reviewschview.com/mastram/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Mastram/movie-review/34883898.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/mastram
26,YehHaiBakrapur,https://en.wikipedia.org/wiki/Yeh_Hai_Bakrapur,Anshuman Jha;Asif Basra,YehHaiBakrapur review,yehhaibakrapur,http://www.moviebuff.com/yeh-hai-bakrapur,http://www.imdb.com/title/tt3524410/,http://reviewschview.com/yeh-hai-bakrapur/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Yeh-Hai-Bakrapur/movie-review/34825152.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/yeh_hai_bakrapur
27,TheXpos,https://en.wikipedia.org/wiki/The_Xpos%C3%A9,Himesh Reshammiya;Zoya Afroz;Sonali Raut;Honey Singh,TheXpos,None,http://www.moviebuff.com/the-xpose,http://www.imdb.com/title/tt3645014/,http://reviewschview.com/xpose/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/The-X-pose/movie-review/35155553.cms,None,http://www.lyricsmint.com/2014/04/the-xpose.html,http://boxofficeindia.com/Movies/movie_detail/the_expose#.Vj3Q0nW1Gko
28,Heropanti,https://en.wikipedia.org/wiki/Heropanti,Tiger Shroff;Kriti Sanon;Prakash Raj,Heropanti,Heropanti,http://www.moviebuff.com/heropanti,http://www.imdb.com/title/tt3142232/,http://reviewschview.com/heropanti/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Heropanti/movie-review/35520099.cms,http://www.filmyquotes.com/movies/671,http://www.lyricsmint.com/2014/04/heropanti.html,http://boxofficeindia.com/Movies/movie_detail/heropanti
29,Kochadaiiyaan,https://en.wikipedia.org/wiki/Kochadaiiyaan,Rajinikanth;Deepika Padukone;Aadhi;R. Sarathkumar,Kochadaiiyaan,Kochadaiiyaan,http://www.moviebuff.com/kochadaiiyaan,http://www.imdb.com/title/tt2339505/,http://reviewschview.com/kochadaiiyaan/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Kochadaiiyaan/movie-review/35519501.cms,None,None,None
30,KukuMathurKiJhandHoGayi,https://en.wikipedia.org/wiki/Kuku_Mathur_Ki_Jhand_Ho_Gayi,Simran Kaur Mundi;Siddharth Bhardwaj,KukuMathurKiJhandHoGayi,None,http://www.moviebuff.com/kuku-mathur-ki-jhand-ho-gayi,http://www.imdb.com/title/tt2998196/,http://reviewschview.com/kuku-mathur-ki-jhand-ho-gayi/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Kuku-Mathur-Ki-Jhand-Ho-Gayi/movie-review/35731358.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/kuku_mathur_ki_jhand_ho_gayi
31,Filmistaan,https://en.wikipedia.org/wiki/Filmistaan,Sharib Hashmi;Inaamulhaq,Filmistaan,None,http://www.moviebuff.com/filmistaan,http://www.imdb.com/title/tt2417560/,http://reviewschview.com/filmistaan/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Filmistaan/movie-review/36096884.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/filmistaan
